rid,process,source
10008100081000820210715053112,NEW,REGISTRATION_CLIENT
10007100071000720210715053108,NEW,REGISTRATION_CLIENT
10003100031000320210715053051,NEW,REGISTRATION_CLIENT
10010100101001020210715053120,NEW,REGISTRATION_CLIENT
10005100051000520210715053059,NEW,REGISTRATION_CLIENT
10009100091000920210715053116,NEW,REGISTRATION_CLIENT
10001100011000120210715053039,NEW,REGISTRATION_CLIENT
10006100061000620210715053103,NEW,REGISTRATION_CLIENT
10004100041000420210715053055,NEW,REGISTRATION_CLIENT
10002100021000220210715053046,NEW,REGISTRATION_CLIENT
